date,close,市盈率,市盈率估值,市净率,市净率估值
2013-08-16,22517.811,9.5,正常,1.35,高估
2013-08-19,22463.699,9.47,正常,1.35,高估
2013-08-20,21964.051,9.22,正常,1.31,高估
2013-08-21,21817.731,9.15,正常,1.3,偏高
2013-08-22,21895.4,9.16,正常,1.31,高估
2013-08-23,21863.51,9.13,正常,1.3,偏高
2013-08-26,22005.32,9.14,正常,1.31,高估
2013-08-27,21874.77,9.1,正常,1.3,偏高
2013-08-28,21532.461,8.93,低估,1.28,偏高
2013-08-29,21704.779,8.88,低估,1.29,偏高
2013-08-30,21731.369,8.89,低估,1.29,偏高
2013-09-02,22175.34,9.09,正常,1.32,高估
2013-09-03,22402.25,9.18,正常,1.33,高估
2013-09-04,22332.949,9.15,正常,1.33,高估
2013-09-05,22597.971,9.26,正常,1.34,高估
2013-09-06,22621.221,9.27,正常,1.35,高估
2013-09-09,22750.65,9.36,正常,1.36,高估
2013-09-10,22976.65,9.46,正常,1.38,高估
2013-09-11,22937.141,9.43,正常,1.37,高估
2013-09-12,22963.981,9.45,正常,1.37,高估
2013-09-13,22911.84,9.42,正常,1.37,高估
2013-09-16,23252.41,9.56,正常,1.39,高估
2013-09-17,23189.609,9.53,正常,1.38,高估
2013-09-18,23117.449,9.5,正常,1.38,高估
2013-09-19,23502.51,9.65,正常,1.4,高估
2013-09-23,23371.539,9.61,正常,1.39,高估
2013-09-24,23173.551,9.51,正常,1.38,高估
2013-09-25,23209.631,9.53,正常,1.38,高估
2013-09-26,23125.029,9.49,正常,1.37,高估
2013-09-27,23195.529,9.51,正常,1.38,高估
2013-09-30,22859.859,9.36,正常,1.36,高估
2013-10-02,22984.481,9.4,正常,1.36,高估
2013-10-03,23214.4,9.51,正常,1.38,高估
2013-10-04,23130.539,9.48,正常,1.37,高估
2013-10-07,22973.949,9.41,正常,1.36,高估
2013-10-08,23178.85,9.5,正常,1.38,高估
2013-10-09,23033.971,9.46,正常,1.37,高估
2013-10-10,22951.301,9.42,正常,1.36,高估
2013-10-11,23204.26,9.52,正常,1.38,高估
2013-10-15,23328.57,9.58,正常,1.39,高估
2013-10-16,23228.33,9.54,正常,1.38,高估
2013-10-17,23095.24,9.48,正常,1.37,高估
2013-10-18,23340.1,9.56,正常,1.38,高估
2013-10-21,23438.15,9.6,正常,1.39,高估
2013-10-22,23315.99,9.54,正常,1.38,高估
2013-10-23,22999.949,9.39,正常,1.36,高估
2013-10-24,22835.82,9.31,正常,1.35,高估
2013-10-25,22698.34,9.18,正常,1.33,高估
2013-10-28,22806.58,9.19,正常,1.33,高估
2013-10-29,22846.539,9.19,正常,1.34,高估
2013-10-30,23304.02,9.32,正常,1.35,高估
2013-10-31,23206.369,9.28,正常,1.35,高估
2013-11-01,23249.789,9.28,正常,1.35,高估
2013-11-04,23189.619,9.27,正常,1.35,高估
2013-11-05,23038.949,9.2,正常,1.34,高估
2013-11-06,23036.94,9.2,正常,1.34,高估
2013-11-07,22881.029,9.13,正常,1.33,高估
2013-11-08,22744.391,9.08,正常,1.32,高估
2013-11-11,23069.85,9.22,正常,1.34,高估
2013-11-12,22901.41,9.16,正常,1.33,高估
2013-11-13,22463.83,8.96,低估,1.3,偏高
2013-11-14,22649.15,9.03,低估,1.31,高估
2013-11-15,23032.15,9.21,正常,1.34,高估
2013-11-18,23660.061,9.52,正常,1.38,高估
2013-11-19,23657.811,9.54,正常,1.39,高估
2013-11-20,23700.859,9.57,正常,1.39,高估
2013-11-21,23580.289,9.51,正常,1.38,高估
2013-11-22,23696.279,9.56,正常,1.39,高估
2013-11-25,23684.449,9.54,正常,1.39,高估
2013-11-26,23681.279,9.52,正常,1.38,高估
2013-11-27,23806.35,9.57,正常,1.39,高估
2013-11-28,23789.09,9.56,正常,1.39,高估
2013-11-29,23881.289,9.6,正常,1.4,高估
2013-12-02,24038.551,9.67,正常,1.41,高估
2013-12-03,23910.471,9.62,正常,1.4,高估
2013-12-04,23728.699,9.54,正常,1.39,高估
2013-12-05,23712.57,9.55,正常,1.39,高估
2013-12-06,23743.1,9.57,正常,1.39,高估
2013-12-09,23811.17,9.6,正常,1.39,高估
2013-12-10,23744.19,9.56,正常,1.39,高估
2013-12-11,23338.24,9.37,正常,1.36,高估
2013-12-12,23218.119,9.31,正常,1.35,高估
2013-12-13,23245.961,9.33,正常,1.36,高估
2013-12-16,23114.66,9.26,正常,1.35,高估
2013-12-17,23069.231,9.24,正常,1.34,高估
2013-12-18,23143.82,9.27,正常,1.35,高估
2013-12-19,22888.75,9.14,正常,1.33,高估
2013-12-20,22812.18,9.1,正常,1.32,高估
2013-12-23,22921.561,9.14,正常,1.33,高估
2013-12-24,23179.551,9.25,正常,1.34,高估
2013-12-27,23243.24,9.27,正常,1.35,高估
2013-12-30,23244.869,9.25,正常,1.34,高估
2013-12-31,23306.391,9.28,正常,1.35,高估
2014-01-02,23340.051,9.26,正常,1.35,高估
2014-01-03,22817.279,9.04,低估,1.31,高估
2014-01-06,22684.15,8.96,低估,1.3,偏高
2014-01-07,22712.779,8.96,低估,1.3,偏高
2014-01-08,22996.59,9.07,正常,1.32,高估
2014-01-09,22787.33,8.96,低估,1.3,偏高
2014-01-10,22846.25,8.99,低估,1.31,高估
2014-01-13,22888.76,9.0,低估,1.31,高估
2014-01-14,22791.279,8.97,低估,1.3,偏高
2014-01-15,22902.0,9.01,低估,1.31,高估
2014-01-16,22986.41,9.02,低估,1.31,高估
2014-01-17,23142.471,9.06,正常,1.32,高估
2014-01-20,22928.949,8.98,低估,1.3,偏高
2014-01-21,23033.119,9.04,低估,1.31,高估
2014-01-22,23078.961,9.07,正常,1.32,高估
2014-01-23,22733.9,8.91,低估,1.29,偏高
2014-01-24,22450.061,8.82,低估,1.28,偏高
2014-01-27,21976.1,8.63,低估,1.25,偏高
2014-01-28,21960.641,8.62,低估,1.25,偏高
2014-01-29,22141.609,8.69,低估,1.26,偏高
2014-01-30,22035.42,8.64,低估,1.26,偏高
2014-02-04,21397.77,8.39,低估,1.22,偏高
2014-02-05,21269.381,8.34,低估,1.21,偏高
2014-02-06,21423.131,8.42,低估,1.22,偏高
2014-02-07,21643.641,8.5,低估,1.23,偏高
2014-02-10,21579.26,8.47,低估,1.23,偏高
2014-02-11,21956.43,8.64,低估,1.25,偏高
2014-02-12,22285.789,8.76,低估,1.27,偏高
2014-02-13,22165.529,8.69,低估,1.26,偏高
2014-02-14,22298.41,8.74,低估,1.27,偏高
2014-02-17,22535.94,8.84,低估,1.28,偏高
2014-02-18,22587.721,8.83,低估,1.28,偏高
2014-02-19,22664.52,8.85,低估,1.29,偏高
2014-02-20,22394.08,8.77,低估,1.27,偏高
2014-02-21,22568.24,8.84,低估,1.28,偏高
2014-02-24,22388.561,8.75,低估,1.26,偏高
2014-02-25,22314.84,8.73,低估,1.26,偏高
2014-02-26,22437.44,8.82,低估,1.27,偏高
2014-02-27,22828.18,8.99,低估,1.29,偏高
2014-02-28,22836.961,8.96,低估,1.28,偏高
2014-03-03,22500.67,8.83,低估,1.26,偏高
2014-03-04,22657.631,8.89,低估,1.27,偏高
2014-03-05,22586.44,8.84,低估,1.27,偏高
2014-03-06,22702.971,8.87,低估,1.27,偏高
2014-03-07,22660.49,8.88,低估,1.27,偏高
2014-03-10,22264.93,8.74,低估,1.26,偏高
2014-03-11,22292.26,8.74,低估,1.26,偏高
2014-03-12,21901.02,8.59,低估,1.23,偏高
2014-03-13,21769.731,8.54,低估,1.23,偏高
2014-03-14,21539.49,8.47,低估,1.22,偏高
2014-03-17,21473.949,8.46,低估,1.21,偏高
2014-03-18,21583.5,8.48,低估,1.22,偏高
2014-03-19,21568.69,8.48,低估,1.22,偏高
2014-03-20,21182.16,8.33,低估,1.18,偏高
2014-03-21,21436.701,8.43,低估,1.2,偏高
2014-03-24,21846.449,8.67,低估,1.23,偏高
