date,close,市盈率,市盈率估值,市净率,市净率估值
2020-06-24,764.03,29.84,高估,1.78,偏高
2020-06-29,740.24,29.04,高估,1.73,偏高
2020-06-30,765.85,30.01,高估,1.79,偏高
2020-07-01,780.9,30.56,高估,1.81,高估
2020-07-02,836.51,32.79,高估,1.95,高估
2020-07-03,900.94,35.42,高估,2.1,高估
2020-07-06,987.57,38.83,高估,2.32,高估
2020-07-07,963.47,37.84,高估,2.26,高估
2020-07-08,1026.57,40.28,高估,2.41,高估
2020-07-09,1031.94,40.19,高估,2.41,高估
2020-07-10,1005.51,39.17,高估,2.34,高估
2020-07-13,1023.82,39.88,高估,2.39,高估
2020-07-14,1026.59,39.92,高估,2.39,高估
2020-07-15,996.41,38.7,高估,2.32,高估
2020-07-16,940.41,36.44,高估,2.19,高估
2020-07-17,913.09,35.53,高估,2.14,高估
2020-07-20,959.42,37.31,高估,2.24,高估
2020-07-21,944.98,36.72,高估,2.21,高估
2020-07-22,955.07,37.11,高估,2.23,高估
2020-07-23,959.46,37.16,高估,2.23,高估
2020-07-24,895.72,34.25,高估,2.09,高估
2020-07-27,896.34,34.11,高估,2.09,高估
2020-07-28,895.47,33.89,高估,2.09,高估
2020-07-29,933.76,35.36,高估,2.18,高估
2020-07-30,923.17,33.99,高估,2.15,高估
2020-07-31,938.2,34.49,高估,2.14,高估
2020-08-03,959.7,35.27,高估,2.19,高估
2020-08-04,954.05,35.08,高估,2.18,高估
2020-08-05,948.26,34.85,高估,2.17,高估
2020-08-06,981.86,36.2,高估,2.25,高估
2020-08-07,949.96,35.47,高估,2.18,高估
2020-08-10,959.97,35.85,高估,2.22,高估
2020-08-11,925.66,34.49,高估,2.13,高估
2020-08-12,920.66,34.36,高估,2.13,高估
2020-08-13,925.74,33.88,高估,2.13,高估
2020-08-14,938.85,34.45,高估,2.15,高估
2020-08-17,983.96,36.11,高估,2.26,高估
2020-08-18,980.39,35.95,高估,2.25,高估
2020-08-19,962.0,35.39,高估,2.21,高估
2020-08-20,944.11,34.58,高估,2.16,高估
2020-08-21,958.23,34.98,高估,2.2,高估
2020-08-24,950.83,34.74,高估,2.18,高估
2020-08-25,946.4,34.07,高估,2.17,高估
2020-08-26,921.74,33.17,高估,2.11,高估
2020-08-27,926.99,32.44,高估,2.12,高估
2020-08-28,953.6,32.78,高估,2.17,高估
2020-08-31,947.88,30.03,高估,2.16,高估
2020-09-01,954.98,30.23,高估,2.18,高估
2020-09-02,953.99,30.2,高估,2.17,高估
2020-09-03,946.43,29.99,高估,2.16,高估
2020-09-04,936.56,29.65,高估,2.13,高估
2020-09-07,906.29,28.77,高估,2.06,高估
2020-09-08,925.18,29.38,高估,2.11,高估
2020-09-09,904.59,28.77,高估,2.06,高估
2020-09-10,885.56,28.25,高估,2.02,高估
2020-09-11,887.5,28.32,高估,2.03,高估
2020-09-14,888.84,28.37,高估,2.03,高估
2020-09-15,890.55,28.43,高估,2.04,高估
2020-09-16,887.23,28.33,高估,2.03,高估
2020-09-17,879.59,28.02,高估,2.01,高估
2020-09-18,924.06,29.45,高估,2.11,高估
2020-09-21,921.57,29.35,高估,2.1,高估
2020-09-22,922.48,29.35,高估,2.1,高估
2020-09-23,914.41,29.05,高估,2.08,高估
2020-09-24,903.92,28.7,高估,2.06,高估
2020-09-25,919.19,29.19,高估,2.09,高估
2020-09-28,917.41,29.16,高估,2.09,高估
2020-09-29,919.32,29.18,高估,2.09,高估
2020-09-30,908.64,28.86,高估,2.07,高估
2020-10-09,922.61,29.27,高估,2.1,高估
2020-10-12,958.07,30.37,高估,2.18,高估
2020-10-13,945.69,29.93,高估,2.15,高估
2020-10-14,934.94,29.57,高估,2.12,高估
2020-10-15,933.03,29.53,高估,2.12,高估
2020-10-16,936.47,29.63,高估,2.12,高估
2020-10-19,926.49,28.99,高估,2.1,高估
2020-10-20,928.76,28.95,高估,2.09,高估
2020-10-21,922.99,28.62,高估,2.08,高估
2020-10-22,928.96,28.85,高估,2.1,高估
2020-10-23,913.5,28.26,高估,2.06,高估
2020-10-26,883.57,26.96,高估,1.98,高估
2020-10-27,883.14,26.71,高估,1.98,高估
2020-10-28,888.46,26.85,高估,1.99,高估
2020-10-29,895.54,26.4,高估,2.0,高估
2020-10-30,865.98,24.55,偏高,1.91,高估
2020-11-02,861.08,23.47,偏高,1.88,高估
2020-11-03,884.26,24.11,偏高,1.93,高估
2020-11-04,878.53,23.96,偏高,1.92,高估
2020-11-05,891.88,24.31,偏高,1.95,高估
2020-11-06,895.72,24.36,偏高,1.95,高估
2020-11-09,930.13,25.33,高估,2.03,高估
2020-11-10,914.74,24.93,高估,1.99,高估
2020-11-11,895.31,24.41,偏高,1.95,高估
2020-11-12,890.53,24.28,偏高,1.94,高估
2020-11-13,880.37,24.04,偏高,1.92,高估
2020-11-16,887.24,24.22,偏高,1.94,高估
2020-11-17,888.45,24.21,偏高,1.94,高估
2020-11-18,893.19,24.36,偏高,1.95,高估
2020-11-19,895.06,24.44,偏高,1.95,高估
2020-11-20,895.07,24.45,偏高,1.95,高估
2020-11-23,912.31,24.88,偏高,1.99,高估
2020-11-24,904.08,24.64,偏高,1.97,高估
2020-11-25,890.25,24.22,偏高,1.94,高估
2020-11-26,893.91,24.31,偏高,1.94,高估
2020-11-27,913.27,24.84,偏高,1.99,高估
2020-11-30,918.44,24.94,高估,2.0,高估
2020-12-01,952.14,25.8,高估,2.07,高估
